"Time","Subsystem #1|CTLs|Vars|Vrms_1","Subsystem #1|CTLs|Vars|Vrms_10","Subsystem #1|CTLs|Vars|Vrms_11","Subsystem #1|CTLs|Vars|Vrms_12","Subsystem #1|CTLs|Vars|Vrms_13","Subsystem #1|CTLs|Vars|Vrms_14","Subsystem #1|CTLs|Vars|Vrms_2","Subsystem #1|CTLs|Vars|Vrms_3","Subsystem #1|CTLs|Vars|Vrms_4","Subsystem #1|CTLs|Vars|Vrms_5","Subsystem #1|CTLs|Vars|Vrms_6","Subsystem #1|CTLs|Vars|Vrms_8","Subsystem #1|CTLs|Vars|Vrms_9"
0.00555,11.0127124,10.73167652,10.88377859,10.94368379,10.87775002,10.61337107,10.85572466,10.49190566,10.54612272,10.57565452,11.11460274,11.32356688,10.74490157
0.0056,11.012696,10.73160966,10.88371001,10.94361417,10.87768096,10.61330462,10.85568633,10.49183988,10.54607001,10.57560679,11.11453164,11.32348268,10.74483469
0.00565,11.01267958,10.73154259,10.88364122,10.94354434,10.87761168,10.6132379,10.855648,10.49177394,10.54601717,10.57555892,11.11446036,11.32339857,10.7447676
0.0057,11.01266313,10.73147533,10.88357226,10.94347432,10.8775422,10.61317096,10.85560969,10.49170784,10.5459642,10.57551094,11.11438891,11.32331459,10.74470033
0.00575,11.01264667,10.73140791,10.88350314,10.94340412,10.87747255,10.6131038,10.85557141,10.49164162,10.54591114,10.57546285,11.11431733,11.32323078,10.7446329
0.0058,11.0126302,10.73134034,10.88343389,10.94333379,10.87740274,10.61303646,10.85553319,10.4915753,10.54585798,10.57541467,11.11424564,11.32314715,10.74456534
0.00585,11.01261372,10.73127265,10.88336454,10.94326334,10.87733281,10.61296896,10.85549502,10.49150889,10.54580477,10.57536643,11.11417387,11.32306374,10.74449767
0.0059,11.01259725,10.73120487,10.8832951,10.9431928,10.87726278,10.61290132,10.85545692,10.49144243,10.5457515,10.57531813,11.11410204,11.32298059,10.74442991
0.00595,11.01258078,10.73113702,10.88322561,10.94312219,10.87719268,10.61283357,10.85541891,10.49137594,10.54569821,10.5752698,11.11403017,11.32289771,10.74436209
0.006,11.01256433,10.73106912,10.88315609,10.94305155,10.87712252,10.61276573,10.85538101,10.49130944,10.54564491,10.57522145,11.1139583,11.32281514,10.74429423
0.00605,11.0125479,10.7310012,10.88308656,10.94298088,10.87705235,10.61269782,10.85534322,10.49124295,10.54559163,10.57517311,11.11388645,11.3227329,10.74422636
0.0061,11.01253149,10.73093328,10.88301705,10.94291023,10.87698217,10.61262988,10.85530555,10.4911765,10.54553837,10.57512478,11.11381464,11.32265104,10.7441585
0.00615,11.01251511,10.73086539,10.88294758,10.94283961,10.87691201,10.61256192,10.85526803,10.49111012,10.54548516,10.57507649,11.1137429,11.32256957,10.74409068
